Player,Season,Projected_VORP
Aaron Gordon,2025,1.5205146074295044
Aaron Gordon,2026,-0.5064489841461182
Aaron Gordon,2027,-0.4756539613008499
Aaron Gordon,2028,-0.4270026733477911
Aaron Gordon,2029,-0.39970316986242926
Aaron Holiday,2025,-0.05578356981277466
Aaron Holiday,2026,-0.31357496976852417
Aaron Holiday,2027,-0.3174419105052948
Aaron Holiday,2028,-0.36018771926561993
Aaron Holiday,2029,-0.3819278006752332
Aaron Nesmith,2025,0.7946017384529114
Aaron Nesmith,2026,-0.13301604986190796
Aaron Nesmith,2027,-0.3834482356905937
Aaron Nesmith,2028,-0.39975570390621823
Aaron Nesmith,2029,-0.38992305969198543
Al Horford,2025,1.8519017696380615
Al Horford,2026,0.31038403511047363
Al Horford,2027,-0.10583910346031189
Al Horford,2028,-0.3954249322414398
Al Horford,2029,-0.39543290063738823
Alec Burks,2025,0.19827966392040253
Alec Burks,2026,-0.5176992267370224
Alec Burks,2027,-0.3217763602733612
Alec Burks,2028,-0.3437190155188243
Alec Burks,2029,-0.35446136941512424
Alex Caruso,2025,1.8130576610565186
Alex Caruso,2026,-0.8630908727645874
Alex Caruso,2027,-0.5568777695298195
Alex Caruso,2028,-0.4552216355999311
Alex Caruso,2029,-0.4230642231802145
Alex Len,2025,0.029769349843263626
Alex Len,2026,-0.36208798363804817
Alex Len,2027,-0.32215943187475204
Alex Len,2028,-0.3519975220163663
Alex Len,2029,-0.36225725586215657
Amir Coffey,2025,-0.11163776367902756
Amir Coffey,2026,-0.29988885670900345
Amir Coffey,2027,-0.3067866563796997
Amir Coffey,2028,-0.3459015488624573
Amir Coffey,2029,-0.36443281173706055
Andre Drummond,2025,0.40666088461875916
Andre Drummond,2026,-0.4451022110879421
Andre Drummond,2027,-0.3586233491078019
Andre Drummond,2028,-0.3715448258444667
Andre Drummond,2029,-0.37829716643318534
Andrew Wiggins,2025,0.213850200176239
Andrew Wiggins,2026,-0.42907439172267914
Andrew Wiggins,2027,-0.33066103234887123
Andrew Wiggins,2028,-0.3438831679522991
Andrew Wiggins,2029,-0.3478190805763006
Anfernee Simons,2025,0.9911060333251953
Anfernee Simons,2026,-0.496499240398407
Anfernee Simons,2027,-0.46588511765003204
Anfernee Simons,2028,-0.4122418810923894
Anfernee Simons,2029,-0.39575177679459256
Anthony Davis,2025,2.579805850982666
Anthony Davis,2026,0.010071277618408203
Anthony Davis,2027,-0.4257698655128479
Anthony Davis,2028,-0.5284255544344585
Anthony Davis,2029,-0.4673397367199262
Anthony Edwards,2025,2.0990285873413086
Anthony Edwards,2026,0.0026226043701171875
Anthony Edwards,2027,-0.48241223488003016
Anthony Edwards,2028,-0.5089879150812824
Anthony Edwards,2029,-0.4504524973842005
Austin Rivers,2024,-0.19452348351478577
Austin Rivers,2025,-0.316909521818161
Austin Rivers,2026,-0.3280126303434372
Austin Rivers,2027,-0.3654288798570633
Austin Rivers,2028,-0.37977147847414017
Bam Adebayo,2025,2.663491725921631
Bam Adebayo,2026,-0.1802983283996582
Bam Adebayo,2027,-0.5028375908732414
Bam Adebayo,2028,-0.55407469222943
Bam Adebayo,2029,-0.47298117106159526
Ben Simmons,2024,1.0577266216278076
Ben Simmons,2025,-1.0219037346541882
Ben Simmons,2026,-0.37700884509831667
Ben Simmons,2027,-0.36552031493435305
Ben Simmons,2028,-0.3664071344149609
Bismack Biyombo,2025,-0.1259259581565857
Bismack Biyombo,2026,-0.35011613368988037
Bismack Biyombo,2027,-0.3187626898288727
Bismack Biyombo,2028,-0.3427283664544423
Bismack Biyombo,2029,-0.3501438374320666
Blake Griffin,2024,0.02931838668882847
Blake Griffin,2025,-0.35632568039000034
Blake Griffin,2026,-0.3155102878808975
Blake Griffin,2027,-0.34546278417110443
Blake Griffin,2028,-0.35987023264169693
Boban Marjanovic,2024,-0.010765064507722855
Boban Marjanovic,2025,-0.3547123186290264
Boban Marjanovic,2026,-0.31920166313648224
Boban Marjanovic,2027,-0.35484372079372406
Boban Marjanovic,2028,-0.36929168552160263
Bobby Portis,2025,0.7194682359695435
Bobby Portis,2026,-0.42232218384742737
Bobby Portis,2027,-0.34908805787563324
Bobby Portis,2028,-0.35772405564785004
Bobby Portis,2029,-0.3547462224960327
Bogdan Bogdanovic,2025,1.0470494031906128
Bogdan Bogdanovic,2026,-0.6412399411201477
Bogdan Bogdanovic,2027,-0.43994519859552383
Bogdan Bogdanovic,2028,-0.4073782190680504
Bogdan Bogdanovic,2029,-0.3978313319385052
Bojan Bogdanovic,2025,0.16042332351207733
Bojan Bogdanovic,2026,-0.5331093817949295
Bojan Bogdanovic,2027,-0.3287123367190361
Bojan Bogdanovic,2028,-0.35535963128010434
Bojan Bogdanovic,2029,-0.3685779583950837
Bradley Beal,2025,1.291280746459961
Bradley Beal,2026,-0.17553043365478516
Bradley Beal,2027,-0.3016157252714038
Bradley Beal,2028,-0.4038285932814082
Bradley Beal,2029,-0.3744901429551343
Brandon Clarke,2024,0.8904433846473694
Brandon Clarke,2025,-0.8118831515312195
Brandon Clarke,2026,-0.3928727060556412
Brandon Clarke,2027,-0.37978480756282806
Brandon Clarke,2028,-0.3777236118912697
Brandon Ingram,2025,1.6481597423553467
Brandon Ingram,2026,-0.2049959897994995
Brandon Ingram,2027,-0.38292818423360586
Brandon Ingram,2028,-0.4363609760378798
Brandon Ingram,2029,-0.4010993942307929
Brook Lopez,2025,1.1346821784973145
Brook Lopez,2026,-0.15432661771774292
Brook Lopez,2027,-0.2484374912455678
Brook Lopez,2028,-0.3595065179591378
Brook Lopez,2029,-0.3500778192343811
Bruce Brown,2025,0.05458378791809082
Bruce Brown,2026,-0.5155383348464966
Bruce Brown,2027,-0.346515491604805
